Track,Album Name,Artist,Release Date,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,Year,Spotify Streams (Millions)
Blinding Lights,Blinding Lights,The Weeknd,2019-11-29,56,194.0,4281468720.0,590392.0,165544011.0,83.0,2019,4281.46872
Shape of You,Shape of You,Ed Sheeran,2017-01-06,54,195.1,3909458734.0,316378.0,148037882.0,80.0,2017,3909.458734
Shape of You,Shape of You,xSyborg,2021-02-20,"1,807",36.3,3888356417.0,,,,2021,3888.356417
Someone You Loved,Breach,Lewis Capaldi,2018-11-08,133,129.7,3427498835.0,338763.0,160553919.0,82.0,2018,3427.498835
Sunflower - Spider-Man: Into the Spider-Verse,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,2018-10-18,116,143.9,3358704125.0,392082.0,123917182.0,79.0,2018,3358.704125
As It Was,As It Was,Harry Styles,2022-03-31,20,292.0,3301814535.0,407119.0,169783402.0,87.0,2022,3301.814535
Starboy,Starboy,The Weeknd,2016-09-22,265,95.7,3291262413.0,366133.0,98022646.0,84.0,2016,3291.262413
One Dance,One Dance (feat. Wizkid & Kyla) - Single,Drake,2016-04-04,518,67.9,3192204066.0,379853.0,131832723.0,82.0,2016,3192.204066
STAY (with Justin Bieber),STAY (with Justin Bieber),The Kid LAROI,2021-07-09,27,266.3,3107100349.0,451732.0,134793519.0,78.0,2021,3107.100349
Dance Monkey,Dance Monkey,Tones And I,2019-05-10,40,214.5,3071214106.0,375201.0,64901153.0,71.0,2019,3071.214106
Believer,Believer,Imagine Dragons,2017-01-31,119,142.2,3006226762.0,335880.0,89243475.0,81.0,2017,3006.226762
Heat Waves,Heat Waves,Glass Animals,2020-06-29,71,175.0,2996181078.0,486278.0,112416489.0,82.0,2020,2996.181078
Perfect,ıı (Deluxe),Ed Sheeran,2017-03-03,81,167.5,2969999682.0,280165.0,116921604.0,81.0,2017,2969.999682
rockstar (feat. 21 Savage),rockstar,Post Malone,2017-09-15,231,101.8,2960046642.0,352745.0,82442565.0,77.0,2017,2960.046642
Sweater Weather,I'm Sorry...,The Neighbourhood,2012-01-01,809,53.9,2916412507.0,415650.0,149359220.0,85.0,2012,2916.412507
Closer,Closer,The Chainsmokers,2016-07-29,173,114.6,2880536961.0,285381.0,129399627.0,80.0,2016,2880.536961
Say You Won't Let Go,Say You Won't Let Go,James Arthur,2016-09-09,462,71.5,2830962669.0,233504.0,128647419.0,82.0,2016,2830.962669
Seï¿½ï¿½o,Shawn Mendes (Deluxe),Shawn Mendes,2018-05-25,165,117.6,2738293818.0,251033.0,108433327.0,74.0,2018,2738.293818
Watermelon Sugar,Watermelon Sugar,Harry Styles,2019-11-17,243,99.7,2708151499.0,298135.0,159003869.0,82.0,2019,2708.151499
Don't Start Now,Don't Start Now,Dua Lipa,2019-10-31,149,124.6,2607121959.0,270230.0,143953432.0,78.0,2019,2607.121959
Something Just Like This,Something Just Like This,The Chainsmokers,2017-02-22,273,94.0,2596644721.0,278237.0,128709855.0,82.0,2017,2596.644721
Lucid Dreams,Lucid Dreams,Juice WRLD,2018-05-04,150,123.9,2548389305.0,339306.0,75858140.0,78.0,2018,2548.389305
Take Me to Church,Take Me To Church,Hozier,2013-09-16,"1,293",41.4,2544489950.0,238611.0,69693570.0,78.0,2013,2544.48995
Riptide,Ministry Of Sound Presents Chillout Sessions XVI,Vance Joy,2013-01-01,"1,223",42.8,2541833602.0,369150.0,165607442.0,80.0,2013,2541.833602
God's Plan,Diplomatic Immunity,Drake,2018-01-20,278,92.9,2529948475.0,313741.0,79266167.0,77.0,2018,2529.948475
Photograph,x (Wembley Edition),Ed Sheeran,2013-01-01,980,48.8,2525355904.0,208671.0,121163411.0,77.0,2013,2525.355904
bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,2019-03-29,164,117.7,2516804300.0,296739.0,113315017.0,76.0,2019,2516.8043
Circles,Circles,Post Malone,2019-08-30,170,116.0,2481391466.0,332437.0,124491320.0,80.0,2019,2481.391466
Counting Stars,Native (Standard),OneRepublic,2013-01-01,892,51.1,2466006842.0,343135.0,114346295.0,81.0,2013,2466.006842
Shallow,Shallow,Lady Gaga,2018-09-27,204,106.9,2447973078.0,221822.0,90174192.0,78.0,2018,2447.973078
Another Love,Songs from Another Love,Tom Odell,2012-01-01,"1,842",33.9,2444335468.0,380675.0,168483196.0,83.0,2012,2444.335468
Love Yourself,Love Yourself,Justin Bieber,2015-11-09,530,66.8,2423583406.0,221550.0,85152861.0,78.0,2015,2423.583406
Can't Hold Us - feat. Ray Dalton,The Heist,Macklemore & Ryan Lewis,2012-10-09,"1,430",38.9,2397109372.0,287524.0,83050639.0,74.0,2012,2397.109372
goosebumps,Birds In The Trap Sing McKnight,Travis Scott,2016-09-16,549,65.5,2396737761.0,381756.0,90317118.0,82.0,2016,2396.737761
Thunder,Thunder,Imagine Dragons,2017-04-27,203,106.9,2384768901.0,244951.0,88329475.0,79.0,2017,2384.768901
All of Me,Love In The Future (South Africa Tour Edition),John Legend,2012-01-01,487,69.8,2382407025.0,259202.0,144805002.0,80.0,2012,2382.407025
Wake Me Up,TRUE,Avicii,2013-01-01,436,73.7,2325017580.0,347004.0,112575684.0,81.0,2013,2325.01758
Stressed Out,Stressed Out,Twenty One Pilots,2015-04-28,482,70.1,2313532702.0,333612.0,85684817.0,79.0,2015,2313.532702
The Hills,The Hills,The Weeknd,2015-05-27,388,77.5,2306740926.0,333310.0,91689799.0,80.0,2015,2306.740926
Wake Me Up (Remix),Dance Essentials 2,Nick White,2022-04-01,"2,192",32.4,2300429829.0,,,,2022,2300.429829
Demons,Continued Silence - EP,Imagine Dragons,2012-01-01,847,52.8,2270796677.0,263640.0,71470111.0,80.0,2012,2270.796677
Die For You,Starboy,The Weeknd,2016-11-25,"1,565",37.0,2265551950.0,185803.0,50288436.0,74.0,2016,2265.55195
7 rings,7 rings,Ariana Grande,2019-01-18,274,93.9,2262490403.0,179865.0,89518199.0,77.0,2019,2262.490403
Let Her Go,Let Her Go,Passenger,2012-07-27,484,70.1,2252713547.0,84884.0,25149126.0,69.0,2012,2252.713547
No Role Modelz,2014 Forest Hills Drive,J. Cole,2014-12-09,955,49.3,2235160830.0,403355.0,73668045.0,81.0,2014,2235.16083
HUMBLE.,HUMBLE.,Kendrick Lamar,2017-03-31,466,71.4,2226869580.0,311766.0,77191099.0,80.0,2017,2226.86958
SAD!,SAD!,XXXTENTACION,2018-03-02,289,90.5,2218531106.0,263801.0,60437070.0,75.0,2018,2218.531106
Do I Wanna Know?,AM,Arctic Monkeys,2013-01-01,"1,837",33.9,2188592950.0,361827.0,91030520.0,81.0,2013,2188.59295
Cruel Summer,Lover,Taylor Swift,2019-08-23,451,72.8,2188247133.0,121479.0,201964859.0,88.0,2019,2188.247133
drivers license,drivers license,Olivia Rodrigo,2021-01-08,226,102.9,2184754018.0,250778.0,70173770.0,79.0,2021,2184.754018
One Kiss (with Dua Lipa),Dua Lipa (Complete Edition),Calvin Harris,2015-01-01,"1,024",47.5,2178606166.0,291456.0,162511602.0,79.0,2015,2178.606166
good 4 u,good 4 u,Olivia Rodrigo,2021-05-14,163,117.8,2167768056.0,309421.0,72787213.0,79.0,2021,2167.768056
good 4 u,good 4 u,Olivia Rodrigo,2021-05-14,"1,009",47.8,2167768056.0,12805.0,3065794.0,54.0,2021,2167.768056
Treat You Better,Treat You Better,Shawn Mendes,2016-06-03,481,70.2,2164074552.0,183260.0,79238401.0,80.0,2016,2164.074552
Let Me Love You,Encore,DJ Snake,2016-08-05,403,76.2,2147028486.0,205482.0,89333146.0,80.0,2016,2147.028486
Without Me,Suicide Squad: The Album (Collector's Edition),Eminem,2016-08-04,"1,696",35.5,2146682342.0,7361.0,1065772.0,,2016,2146.682342
Happier,Happier - Single,Marshmello,2018-08-16,299,87.9,2143821605.0,220298.0,53040597.0,16.0,2018,2143.821605
SICKO MODE,ASTROWORLD,Travis Scott,2018-08-03,626,60.9,2134271997.0,330314.0,97027433.0,77.0,2018,2134.271997
XO Tour Llif3,Luv Is Rage 2,Lil Uzi Vert,2017-08-25,"1,855",33.7,2123458039.0,250221.0,69341164.0,77.0,2017,2123.458039
XO Tour Llif3,XO TOUR Llif3,Lil Uzi Vert,2017-03-24,562,64.2,2123458039.0,59071.0,11326598.0,24.0,2017,2123.458039
Just the Way You Are,Just The Way You Are,Bruno Mars,2010-07-20,"1,477",38.1,2099862852.0,233719.0,148404419.0,79.0,2010,2099.862852
New Rules,Dua Lipa (Complete Edition),Dua Lipa,2015-01-01,"1,561",37.1,2098443322.0,158842.0,106310954.0,75.0,2015,2098.443322
The Night We Met,The Night We Met,Lord Huron,2015-02-09,"1,226",42.7,2097181065.0,286668.0,123211490.0,84.0,2015,2097.181065
Sorry,Sorry,Justin Bieber,2015-10-23,264,95.7,2089476497.0,179545.0,89286647.0,78.0,2015,2089.476497
Lean On (feat. Mï¿½ï¿½ & DJ Sn,Full Circle: The Live Anthology,Major Lazer,2011-11-20,846,52.8,2080878370.0,242511.0,79506771.0,76.0,2011,2080.87837
That's What I Like,24K Magic,Bruno Mars,2016-11-17,378,79.3,2075459887.0,209632.0,84707015.0,80.0,2016,2075.459887
Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa,2020-03-27,184,111.3,2074721986.0,255296.0,109442317.0,77.0,2020,2074.721986
Havana (feat. Young Thug),Havana,Camila Cabello,2017-08-03,177,112.8,2072182782.0,194332.0,86159672.0,75.0,2017,2072.182782
Unforgettable,EPIC AF,French Montana,2017-01-01,454,72.6,2065697126.0,275044.0,91691537.0,82.0,2017,2065.697126
Too Good At Goodbyes,Too Good At Goodbyes,Sam Smith,2017-09-08,584,62.9,2061017397.0,157801.0,71564108.0,78.0,2017,2061.017397
In the End,Papercuts,Linkin Park,2024-04-12,72,174.8,2045512421.0,97.0,488602.0,,2024,2045.512421
In the End,Hybrid Theory (Bonus Track Version),Linkin Park,2000-10-24,"1,803",34.3,2045512421.0,324745.0,99290558.0,82.0,2000,2045.512421
There's Nothing Holdin' Me Back,Illuminate,Shawn Mendes,2016-09-23,589,62.6,2043626431.0,185796.0,81455782.0,80.0,2016,2043.626431
Without Me,Without Me,Halsey,2018-10-04,200,107.4,2042792456.0,198888.0,69311277.0,75.0,2018,2042.792456
Flowers,Flowers - Single,Miley Cyrus,2023-01-12,4,444.9,2031280633.0,269802.0,136569078.0,85.0,2023,2031.280633
INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,2021-07-23,110,145.3,2014959725.0,354831.0,87942438.0,70.0,2021,2014.959725
Cold Heart - PNAU Remix,Diamonds (Deluxe),Elton John,2017-11-10,565,64.0,2011121774.0,314601.0,173805568.0,77.0,2017,2011.121774
Memories,Memories,Maroon 5,2019-09-20,194,109.3,2011072164.0,222804.0,49920599.0,77.0,2019,2011.072164
Flowers,NOW That's What I Call Music! 115,Miley Cyrus,2023-07-28,"1,625",36.4,2010422639.0,7.0,185.0,,2023,2010.422639
Locked Out Of Heaven,NRJ 200% Hits 2013,Bruno Mars,2012-01-01,"1,602",36.6,2004657631.0,277766.0,134689771.0,83.0,2012,2004.657631
Save Your Tears,After Hours,The Weeknd,2020-03-20,371,79.9,1995511952.0,304456.0,63126296.0,80.0,2020,1995.511952
Save Your Tears,After Hours (Deluxe),The Weeknd,2020-03-20,"1,827",34.0,1995511952.0,8264.0,1155540.0,49.0,2020,1995.511952
Uptown Funk,Full Circle: The Live Anthology,Mark Ronson,2011-11-20,254,97.1,1993030264.0,256764.0,149909699.0,77.0,2011,1993.030264
Congratulations,Congratulations,Post Malone,2016-11-04,322,85.3,1984802459.0,246374.0,81736432.0,75.0,2016,1984.802459
Dakiti,Dakiti,Bad Bunny,2020-01-01,262,96.1,1977947460.0,245685.0,56430031.0,72.0,2020,1977.94746
Better Now,beerbongs & bentleys,Post Malone,2018-04-27,962,49.2,1953403531.0,239092.0,47844195.0,74.0,2018,1953.403531
I Took A Pill In Ibiza - Seeb Remix,I Took A Pill In Ibiza (Seeb Remix),Mike Posner,2015-07-24,"1,757",34.8,1949596473.0,230708.0,75554079.0,76.0,2015,1949.596473
Faded,Faded,Alan Walker,2015-12-04,653,59.4,1943842010.0,221874.0,62851374.0,75.0,2015,1943.84201
Roses - Imanbek Remix,Roses (Imanbek Remix),SAINt JHN,2019-05-04,417,75.2,1927961994.0,323997.0,86092004.0,72.0,2019,1927.961994
Someone Like You,21' Sampler,Adele,2011-01-18,"1,345",40.5,1925879064.0,211527.0,80288449.0,75.0,2011,1925.879064
Before You Go,Divinely Uninspired To a Hellish Extent (Extended Edition),Lewis Capaldi,2019-05-17,611,61.3,1920784716.0,211573.0,106250249.0,77.0,2019,1920.784716
7 Years,Lukas Graham (Blue Album),Lukas Graham,2015-06-16,475,70.5,1916203330.0,218955.0,70223741.0,78.0,2015,1916.20333
The Box,Please Excuse Me For Being Antisocial,Roddy Ricch,2019-12-06,109,146.6,1911559785.0,317345.0,87765033.0,78.0,2019,1911.559785
Stitches,Stitches,Shawn Mendes,2015-02-10,700,57.8,1907768690.0,170905.0,58551250.0,69.0,2015,1907.76869
MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,2021-03-26,238,100.8,1902241314.0,316054.0,50751390.0,70.0,2021,1902.241314
See You Again (feat. Charlie Puth),Furious 7: Original Motion Picture Soundtrack,Wiz Khalifa,2015-03-10,"1,528",37.6,1891920348.0,75665.0,19726243.0,55.0,2015,1891.920348
See You Again (feat. Charlie Puth),See You Again (feat. Charlie Puth),Wiz Khalifa,2015-01-01,251,97.6,1891920348.0,159571.0,73641738.0,78.0,2015,1891.920348
Don't Let Me Down,Pop Party,The Chainsmokers,2016-01-01,432,74.1,1888829482.0,206507.0,80884955.0,76.0,2016,1888.829482
Moonlight,?,XXXTENTACION,2018-03-16,375,79.5,1885431727.0,241112.0,41330643.0,77.0,2018,1885.431727
"thank u, next","thank u, next",Ariana Grande,2018-11-03,515,68.0,1878196824.0,134913.0,54753824.0,73.0,2018,1878.196824
Kill Bill,SOS,SZA,2022-12-08,68,177.7,1873746537.0,190202.0,99546318.0,82.0,2022,1873.746537
Dynamite,Dynamite,BTS,2020-08-21,131,132.3,1872577908.0,144619.0,51186002.0,74.0,2020,1872.577908
Mood (feat. iann dior),Mood (feat. Iann Dior),24kGoldn,2020-07-24,130,133.0,1867736006.0,302486.0,82611625.0,76.0,2020,1867.736006
We Don't Talk Anymore (feat. Selena Gomez),Nine Track Mind,Charlie Puth,2015-11-05,474,70.6,1859886400.0,161156.0,90365431.0,78.0,2015,1859.8864
when the party's over,when the party's over,Billie Eilish,2018-10-17,787,54.7,1845938685.0,186633.0,79124996.0,79.0,2018,1845.938685
Kill Bill,Kill Bill - Single,pasa michaelson,2023-08-26,"1,156",45.2,1842758768.0,1.0,1.0,,2023,1842.758768
Sugar,V (Deluxe),Maroon 5,2014-08-29,399,76.6,1838092894.0,186038.0,69903249.0,75.0,2014,1838.092894
Radioactive,Hear Me EP,Imagine Dragons,2012-01-01,654,59.3,1836362703.0,236427.0,68978853.0,75.0,2012,1836.362703
Blank Space,1989 (Deluxe),Taylor Swift,2014-01-01,463,71.5,1829733410.0,157465.0,49558504.0,76.0,2014,1829.73341
Payphone,Overexposed Track By Track,Maroon 5,2012-01-01,"1,153",44.2,1828026153.0,249663.0,71678167.0,78.0,2012,1828.026153
Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,2021-04-09,222,103.4,1823871908.0,262313.0,116916147.0,76.0,2021,1823.871908
I Don't Care (with Justin Bieber),I Don't Care (with Justin Bieber),Ed Sheeran,2019-05-10,735,56.5,1816356140.0,156748.0,74047669.0,70.0,2019,1816.35614
Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,2022-05-06,64,184.8,1811990630.0,173358.0,67603671.0,79.0,2022,1811.99063
Attention,Attention,Charlie Puth,2017-04-20,768,55.3,1800254516.0,162682.0,40159047.0,75.0,2017,1800.254516
Pumped Up Kicks,Pumped up Kicks,Foster The People,2010-01-01,"1,113",45.1,1791778314.0,344490.0,131726745.0,81.0,2010,1791.778314
Youngblood,Youngblood,5 Seconds of Summer,2018-04-12,811,53.9,1790579305.0,180069.0,75602805.0,76.0,2018,1790.579305
I Like Me Better,I Like Me Better,Lauv,2017-05-19,"1,152",44.2,1784308411.0,157818.0,34910721.0,75.0,2017,1784.308411
Call Out My Name,"My Dear Melancholy,",The Weeknd,2018-03-29,603,61.6,1780889877.0,229909.0,75001452.0,79.0,2018,1780.889877
The Nights,Full Circle: The Live Anthology,Avicii,2011-11-20,"1,680",35.6,1780761618.0,306987.0,80839124.0,79.0,2011,1780.761618
Cheap Thrills,Cheap Thrills,Sia,2015-12-17,580,63.2,1779046979.0,161840.0,45579916.0,70.0,2015,1779.046979
Me Rehï¿½ï,Los Nï¿½ï¿½meros 1 De Los 40 (Music Inspires L,Danny Ocean,2017-11-03,"1,126",44.8,1778934858.0,37040.0,21117726.0,74.0,2017,1778.934858
Heathens,Heathens,Twenty One Pilots,2016-06-16,296,88.6,1777196966.0,241108.0,65091468.0,78.0,2016,1777.196966
Bad Habits,#NAME?,Ed Sheeran,2020-01-01,159,120.8,1754311538.0,271758.0,62218811.0,74.0,2020,1754.311538
Somebody That I Used To Know,Making Mirrors (Deluxe),Gotye,2011-01-01,471,71.0,1752826514.0,352833.0,87651528.0,74.0,2011,1752.826514
Be Alright,Be Alright,Dean Lewis,2018-06-29,"1,042",47.0,1749353402.0,182732.0,81424354.0,72.0,2018,1749.353402
I Feel It Coming,I Feel It Coming,The Weeknd,2016-11-17,817,53.6,1749088490.0,193568.0,52373071.0,72.0,2016,1749.08849
Can't Feel My Face,Your Songs 2015,The Weeknd,2015-03-02,851,52.6,1747534539.0,212829.0,101243254.0,76.0,2015,1747.534539
Despacito,Despacito (Featuring Daddy Yankee),Luis Fonsi,2017-01-13,50,203.5,1747093405.0,178114.0,49464650.0,74.0,2017,1747.093405
This Is What You Came For,This Is What You Came For,Calvin Harris,2016-04-29,373,79.8,1746790923.0,204049.0,117171040.0,79.0,2016,1746.790923
Eastside (with Halsey & Khalid),Eastside (with Halsey & Khalid),benny blanco,2018-07-12,571,63.7,1736530084.0,174867.0,50426363.0,73.0,2018,1736.530084
"CAN'T STOP THE FEELING! (Original Song From Dreamworks Animation's ""Trolls"")","CAN'T STOP THE FEELING! (Original Song From Dreamworks Animation's ""Trolls"")",Justin Timberlake,2016-05-06,305,87.1,1733302434.0,191065.0,88781556.0,72.0,2016,1733.302434
Chandelier,Todo Exitos 2014 (Los Nï¿½ï¿½mero 1 Del A,Sia,2014-01-01,569,63.8,1729264620.0,171065.0,77207881.0,75.0,2014,1729.26462
Ride,Ride,Twenty One Pilots,2015-05-12,"1,110",45.2,1724766252.0,240346.0,62583866.0,79.0,2015,1724.766252
La Bachata,La Bachata,Manuel Turizo,2022-05-26,146,126.2,1721045197.0,156941.0,97122096.0,81.0,2022,1721.045197
Easy On Me,Easy On Me,Adele,2021-10-14,88,163.2,1720918065.0,209635.0,93875458.0,73.0,2021,1720.918065
Despacito - Remix,Despacito Feat. Justin Bieber (Remix),Luis Fonsi,2017-04-17,284,91.5,1713294983.0,134700.0,39604784.0,65.0,2017,1713.294983
Let Me Down Slowly,Let Me Down Slowly,Alec Benjamin,2018-05-25,769,55.3,1709991997.0,187053.0,79925766.0,80.0,2018,1709.991997
LA CANCIï¿½,OASIS,J Balvin,2019-06-28,570,63.8,1706325903.0,149957.0,78600154.0,79.0,2019,1706.325903
"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,2022-07-06,92,161.7,1692951462.0,209490.0,88591675.0,78.0,2022,1692.951462
Shut Up and Dance,Full Circle: The Live Anthology,WALK THE MOON,2011-11-20,"1,530",37.6,1690450389.0,225204.0,121786733.0,81.0,2011,1690.450389
Wow.,Wow.,Post Malone,2018-12-24,657,59.3,1680612367.0,201840.0,56914511.0,74.0,2018,1680.612367
Gangsta's Paradise,Gangsta's Paradise (25th Anniversary - Remastered),Coolio,2020-09-25,"1,945",32.7,1675750095.0,506.0,66189.0,25.0,2020,1675.750095
Heather,Kid Krow,Conan Gray,2020-03-20,"1,276",41.8,1675083208.0,191604.0,123682546.0,80.0,2020,1675.083208
Seven (feat. Latto) (Clean Ver.),Seven (feat. Latto),Jung Kook,2023-07-14,389,77.4,1673557134.0,15863.0,14237841.0,72.0,2023,1673.557134
Seven (feat. Latto) (Explicit Ver.),Seven (feat. Latto),Jung Kook,2023-07-14,156,122.4,1673557134.0,54950.0,91343768.0,80.0,2023,1673.557134
Adore You,Adore You,Harry Styles,2019-12-06,442,73.2,1670164200.0,171120.0,93127826.0,78.0,2019,1670.1642
Sweet but Psycho,Sweet but Psycho,Ava Max,2018-08-17,365,80.1,1668741024.0,174052.0,42966784.0,76.0,2018,1668.741024
Earned It (Fifty Shades Of Grey),Fifty Shades Of Grey (Original Motion Picture Soundtrack),The Weeknd,2015-02-10,"1,195",43.4,1667089416.0,97707.0,24754802.0,69.0,2015,1667.089416
Cheerleader - Felix Jaehn Remix Radio Edit,Cheerleader (Felix Jaehn Remix) (Radio Edit),OMI,2014-05-20,"1,318",41.0,1663491433.0,49556.0,9366950.0,52.0,2014,1663.491433
I Donï¿½ï¿½ï¿½t Wanna Live Forever (Fifty Shades D,I Donï¿½ï¿½ï¿½t Wanna Live Forever (Fifty Shades D,ZAYN,2016-12-09,"1,312",41.1,1662288901.0,129306.0,54219735.0,75.0,2016,1662.288901
I'm Good (Blue),I'm Good (Blue),David Guetta,2022-08-26,43,209.6,1658229422.0,262248.0,239957538.0,83.0,2022,1658.229422
Danza Kuduro,Vem Dancar Kuduro,Don Omar,2010-01-01,"1,605",36.6,1656974409.0,266408.0,90687992.0,76.0,2010,1656.974409
death bed (coffee for your head),"Some Boring, Love Stories, Pt. 2",Powfu,2019-02-09,268,94.8,1656385770.0,283938.0,62191957.0,74.0,2019,1656.38577
Danza Kuduro - Cover,YOUGAKU MORIMORI CLUB MEDLEY,MUSIC LAB JPN,2024-04-29,59,190.0,1655575417.0,1.0,3.0,,2024,1655.575417
Danza Kuduro - Cover,GEKIATU BEST AGE SONG - CLUB SONG,MUSIC LAB JPN,2024-05-02,48,204.4,1655575417.0,9.0,85.0,,2024,1655.575417
Danza Kuduro - Cover,CLUB DE YOKUKIKU YOUGAKU MEDLEY,MUSIC LAB JPN,2024-05-21,23,279.0,1655575417.0,10.0,655.0,,2024,1655.575417
Danza Kuduro (feat. Lucenzo),100% tubes de l'ï¿½ï¿½tï¿½ï¿½ 2018 : La bande son 100,Don Omar,2018-06-15,"1,809",34.2,1655575417.0,1108.0,64350.0,40.0,2018,1655.575417
We Found Love,Talk That Talk (Explicit),Rihanna,2011-01-01,"1,965",32.5,1655539775.0,219739.0,111528796.0,79.0,2011,1655.539775
A Thousand Years,A Thousand Years,Christina Perri,2011-10-18,964,49.2,1654956613.0,177834.0,80060384.0,77.0,2011,1654.956613
Danza Kuduro - Cover,ııııııııııııııııııııı - ıııııııııııııııııı -,MUSIC LAB JPN,2024-06-09,9,355.7,1653018119.0,1.0,15.0,,2024,1653.018119
Danza Kuduro - Cover,CLUB SONG MIX 2023,MUSIC LAB JPN,2023-11-10,"1,261",42.2,1651606290.0,6.0,66.0,,2023,1651.60629
Girls Like You (feat. Cardi B),Red Pill Blues (Deluxe),Maroon 5,2017-11-03,694,57.9,1650167380.0,145231.0,35076065.0,66.0,2017,1650.16738
Danza Kuduro - Cover,DON'T STOP WORKOUT -DJMIX-,DJ MIX NON-STOP CHANNEL,2023-12-21,859,52.4,1648192461.0,15.0,52.0,,2023,1648.192461
Danza Kuduro - Cover,ııııııııııııııııııııııııııı ııııııııııııııııııııııııııı,LOVE BGM JPN,2024-05-14,31,249.8,1645079292.0,,,,2024,1645.079292
The Less I Know The Better,Currents,Tame Impala,2015-07-17,"1,644",36.1,1644031037.0,368350.0,80916788.0,79.0,2015,1644.031037
Danza Kuduro - Cover,BEST CLUB 2023 TREND MIX,MUSIC LAB JPN,2023-11-24,"1,097",45.7,1642258500.0,11.0,127.0,,2023,1642.2585
Danza Kuduro - Cover,WORK OUT MUSIC MIX,WORK OUT GYM - DJ MIX,2023-10-20,"1,478",38.1,1642258500.0,9.0,49.0,,2023,1642.2585
Danza Kuduro - Cover,Let's Workout - Best Pop Hits -,WORK OUT GYM - DJ MIX,2023-10-07,"1,536",37.5,1642258500.0,5.0,36.0,,2023,1642.2585
ROCKSTAR (feat. Roddy Ricch),BLAME IT ON BABY,DaBaby,2020-04-17,167,116.7,1638836101.0,272933.0,50425049.0,70.0,2020,1638.836101
All The Stars (with SZA),All The Stars (with SZA),Kendrick Lamar,2018-01-04,"1,304",41.2,1638529683.0,207686.0,66120497.0,82.0,2018,1638.529683
I Fall Apart,Stoney (Deluxe),Post Malone,2016-12-09,"1,683",35.6,1638216382.0,181604.0,50160716.0,72.0,2016,1638.216382
Titanium (feat. Sia),Nothing But The Beat,Sia,2011-01-01,"1,031",47.4,1634403761.0,244291.0,103798139.0,74.0,2011,1634.403761
Danza Kuduro - Cover,ıııııı ıııııııııııı ıııııııııııııııııı - ıııııı&ıııııı POPS ııııııııııııııııııııı ııııııııııııııı -,MUSIC LAB JPN,2023-02-03,"1,724",37.5,1627429837.0,1.0,3.0,,2023,1627.429837
Danza Kuduro - Cover,A collection of Western music that will get you excited,MUSIC LAB JPN,2023-11-15,355,86.6,1627429837.0,12.0,163.0,,2023,1627.429837
Passionfruit,More Life,Drake,2017-03-18,"1,309",41.1,1625307365.0,288559.0,72837714.0,77.0,2017,1625.307365
HIGHEST IN THE ROOM,HIGHEST IN THE ROOM,Travis Scott,2019-10-04,443,73.2,1625149693.0,304394.0,58905241.0,78.0,2019,1625.149693
I Like It,Invasion of Privacy,Cardi B,2018-04-06,"1,439",38.8,1624314065.0,175421.0,77421150.0,72.0,2018,1624.314065
Cake By The Ocean - Cover,Western music that excites driving,LOVE BGM JPN,2023-10-24,"1,521",37.7,1622824522.0,,,,2023,1622.824522
Cake By The Ocean - Cover,Tik Toker Party Hits,MUSIC LAB JPN,2023-10-05,"1,753",34.8,1619109147.0,,,,2023,1619.109147
All Girls Are The Same,All Girls Are The Same,Juice WRLD,2018-04-13,439,73.5,1615353665.0,219797.0,40289611.0,76.0,2018,1615.353665
Fuck Love (feat. Trippie Redd),17,XXXTENTACION,2017-08-25,319,85.6,1615274494.0,203617.0,35375009.0,79.0,2017,1615.274494
Redbone,Redbone,Childish Gambino,2016-11-17,489,69.6,1615152539.0,377159.0,51251842.0,76.0,2016,1615.152539
Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,2021-03-19,148,125.2,1612286123.0,282719.0,97390961.0,74.0,2021,1612.286123
Cake By The Ocean - Cover,NEW TIK&TOK - BUZZ BEST -,MUSIC LAB JPN,2023-06-07,"1,103",48.2,1611084670.0,,,,2023,1611.08467
See You Again (feat. Kali Uchis),Flower Boy,"Tyler, The Creator",2017-07-21,"1,456",38.4,1610423351.0,283537.0,75314202.0,84.0,2017,1610.423351
I Ain't Worried,"I Ainï¿½ï¿½ï¿½t Worried (Music From The Motion Pi""Top Gun: Maverick"")",OneRepublic,2022-05-13,127,136.2,1607421145.0,212406.0,160444270.0,83.0,2022,1607.421145
deja vu,deja vu,Olivia Rodrigo,2021-04-01,355,81.3,1606975517.0,172376.0,64346126.0,80.0,2021,1606.975517
Woman,Planet Her,Doja Cat,2021-06-25,211,105.2,1606950381.0,217443.0,95985096.0,78.0,2021,1606.950381
Falling,Falling,Trevor Daniel,2018-10-05,367,80.0,1606023895.0,225643.0,32822629.0,71.0,2018,1606.023895
